,tweet_id,timestamp,source,text,rating_numerator,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,retweet_count,favorite_count,dog_stage
0,892420643555336193,2017-08-01 16:23:56+00:00,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13,1,orange,0.0970486,0,bagel,0.08585110000000001,0,banana,0.07611,0,7688,36100,
1,892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,1,Chihuahua,0.323581,1,Pekinese,0.0906465,1,papillon,0.0689569,1,5687,31142,
2,891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,1,Chihuahua,0.716012,1,malamute,0.078253,1,kelpie,0.0313789,1,3770,23449,
3,891689557279858688,2017-07-30 15:58:51+00:00,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13,1,paper_towel,0.17027799999999998,0,Labrador_retriever,0.168086,1,spatula,0.0408359,0,7854,39385,
4,891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12,2,basset,0.555712,1,English_springer,0.22577,1,German_short-haired_pointer,0.175219,1,8460,37617,
5,891087950875897856,2017-07-29 00:08:17+00:00,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13,1,Chesapeake_Bay_retriever,0.425595,1,Irish_terrier,0.116317,1,Indian_elephant,0.07690219999999999,0,2838,18950,
6,890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13,1,Appenzeller,0.34170300000000003,1,Border_collie,0.199287,1,ice_lolly,0.193548,0,1845,11023,
7,890729181411237888,2017-07-28 00:22:40+00:00,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13,2,Pomeranian,0.566142,1,Eskimo_dog,0.17840599999999998,1,Pembroke,0.0765069,1,17153,60820,
8,890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13,1,Irish_terrier,0.487574,1,Irish_setter,0.193054,1,Chesapeake_Bay_retriever,0.118184,1,3906,26066,
9,890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,1,Pembroke,0.511319,1,Cardigan,0.451038,1,Chihuahua,0.0292482,1,6671,29814,doggo
